Name,GP,Min,Pts,FG,FGA,2Pt,2PtA,3Pt,3PtA,3P%,FTM,FTA,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,Team,Year
Jerome Randle,2,28.0,10.0,5.0,14.5,5.0,11.0,0.0,3.5,0.0,0.0,0.0,0.5,0.0,0.5,5.5,1.0,0.0,0.0,2.0,Zalgiris,2016
Edgaras Ulanovas,20,26.2,5.8,1.9,5.1,1.4,3.7,0.6,1.4,40.7,1.5,1.8,1.5,3.1,4.6,1.9,0.8,0.1,1.2,1.9,Zalgiris,2016
Paulius Jankunas,20,25.0,12.5,4.5,8.9,4.0,7.0,0.5,2.0,25.6,3.1,3.7,1.5,4.5,6.0,1.4,0.8,0.2,1.9,2.8,Zalgiris,2016
Mantas Kalnietis,14,23.6,6.8,2.6,7.4,1.6,3.9,1.1,3.6,30.0,0.4,0.5,0.0,2.2,2.2,4.1,0.7,0.1,2.4,1.5,Zalgiris,2016
Olivier Hanlan,20,22.3,8.5,3.0,8.0,2.0,5.3,1.0,2.8,36.4,1.5,2.2,0.5,2.1,2.6,1.6,0.8,0.1,1.3,2.4,Zalgiris,2016
Renaldas Seibutis,17,21.8,8.5,2.9,6.8,2.2,4.4,0.8,2.4,32.5,1.9,2.3,0.3,1.7,2.0,1.8,0.4,0.2,2.2,3.0,Zalgiris,2016
Ian Vouyoukas,20,21.0,11.6,4.5,8.1,4.5,8.1,0.0,0.0,,2.6,3.1,2.0,2.9,4.8,1.2,0.5,0.5,1.2,3.1,Zalgiris,2016
Brock Motum,20,16.7,6.4,2.6,5.7,2.2,4.2,0.4,1.5,27.6,0.9,1.1,1.2,2.0,3.2,0.7,0.6,0.0,1.3,1.4,Zalgiris,2016
Robertas Javtokas,9,16.6,4.9,2.2,3.6,2.2,3.4,0.0,0.1,0.0,0.4,1.0,2.0,1.7,3.7,0.0,0.3,0.4,0.4,2.6,Zalgiris,2016
Lukas Lekavicius,17,15.6,4.5,1.6,4.1,0.8,2.5,0.8,1.6,48.1,0.5,0.8,0.2,1.1,1.2,1.4,0.9,0.0,1.4,2.4,Zalgiris,2016
Martynas Pocius,18,14.1,3.5,1.3,3.6,1.1,2.3,0.3,1.3,21.7,0.6,0.9,0.2,1.6,1.8,0.8,0.1,0.0,1.1,1.6,Zalgiris,2016
Siim-Sander Vene,16,12.6,3.7,1.6,3.3,1.2,2.1,0.4,1.3,30.0,0.2,0.3,0.5,1.2,1.7,0.8,0.4,0.1,0.1,2.1,Zalgiris,2016
Kaspars Vecvagars,10,9.8,2.2,0.6,2.4,0.2,1.5,0.4,0.9,44.4,0.6,0.7,0.0,0.8,0.8,0.8,0.1,0.0,0.7,2.0,Zalgiris,2016
Martynas Sajus,8,6.6,1.5,0.8,1.4,0.8,1.4,0.0,0.0,,0.0,0.0,1.3,0.9,2.1,0.3,0.1,0.5,0.5,1.3,Zalgiris,2016
James Anderson,24,28.4,14.5,5.3,13.3,3.3,7.4,1.9,5.8,32.9,2.1,2.7,0.8,4.4,5.1,2.5,0.9,0.5,2.1,2.4,Zalgiris,2015
Arturas Milaknis,24,25.9,10.0,3.3,7.1,0.8,1.7,2.5,5.4,46.2,0.9,1.1,0.3,1.5,1.8,1.4,0.3,0.1,1.0,2.2,Zalgiris,2015
Paulius Jankunas,24,24.2,9.1,3.0,6.3,2.5,4.7,0.5,1.7,30.0,2.5,3.1,1.1,5.4,6.5,1.1,0.6,0.5,1.8,2.9,Zalgiris,2015
Robertas Javtokas,23,23.2,5.7,2.4,5.3,2.4,5.1,0.0,0.2,0.0,1.0,1.4,1.4,2.9,4.3,1.1,0.4,0.8,1.3,2.2,Zalgiris,2015
Edgaras Ulanovas,24,19.2,5.4,1.9,4.1,1.5,2.8,0.4,1.3,32.3,1.2,1.5,1.0,1.5,2.5,1.2,0.6,0.0,1.4,2.1,Zalgiris,2015
Lukas Lekavicius,24,19.0,5.5,2.0,4.8,1.4,3.0,0.6,1.8,33.3,0.9,1.1,0.7,1.2,1.8,2.7,0.4,0.0,1.8,2.2,Zalgiris,2015
Will Cherry,15,18.5,7.1,2.5,6.4,1.6,3.9,0.9,2.5,36.8,1.1,1.6,0.3,2.1,2.4,1.7,1.0,0.1,1.6,1.7,Zalgiris,2015
